ТОВАРЫ
148 3111/27;EKIS Стол письменный 160х100;;160x100xh73,5;ОРЕХ;0;688;0;0;0; ;87,659;0,189;DS17;ЗАГ00008;;;0;15;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3112/27;EKIS Стол письменный 200х100;;200x100xh73,5;ОРЕХ;0;742;0;0;0; ;103,62;0,213;DS17;ЗАГ00010;;;0;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3151/27;EKIS Стол на опор.тумбе186х100;;186x100xh73,5;ОРЕХ;0;1 230;0;0;0; ;110,557;0,616;DS17;ЗАГ00011;;;0;10;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3152/27;EKIS Стол на опор.тумбе226х100;;226х100xh73,5;ОРЕХ;0;1 282;0;0;0; ;125,56;0,638;DS17;ЗАГ00013;;;0;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3550/27;EKIS Стол на оп.тумбе с прист.;;186x200xh73,5;ОРЕХ;0;1 614;0;0;0; ;158,437;0,71;DS17;ЗАГ00014;;;0;10;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3551/27;EKIS Стол на оп.тумбе с прист.;;226x200xh73,5;ОРЕХ;0;1 666;0;0;0; ;172,64;0,731;DS17;ЗАГ00016;;;0;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3510/27;EKIS Стол c приставкой 160х200;;160x200x73,5;ОРЕХ;0;1 122;0;0;0; ;135,899;0,285;DS17;ЗАГ00017;;;0;15;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3517/27;EKIS Стол c приставкой 200х200;;200х200xh73,5;ОРЕХ;0;1 176;0;0;0; ;151,3;0,306;DS17;ЗАГ00019;;;0;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
Ekis meeting table oval 260*100;EKIS Стол для переговоров L260;;260x100xh73,5;ОРЕХ;0;1 317;0;0;0; ;150;0,227;DS17;ЗАГ00020;;;0;5;Целое;СТОЛПЕРЕГ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
Ekis meeting table oval 300*100;EKIS Стол для переговоров L300;;300х100хh73,5;ОРЕХ;0;1 359;0;0;0; ;117;0,244;DS17;ЗАГ00022;;;0;5;Целое;СТОЛПЕРЕГ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
Ekis meeting table round d210;EKIS Стол для переговоров d210;;d210xh73,5;ОРЕХ;0;2 348;0;0;0; ;166;0,404;DS17;ЗАГ00023;;;0;0;Целое;СТОЛПЕРЕГ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 4 doors WALNUT, carcass WHITE;DADO Шкаф 4 дер.двери, к-с бел;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ОРЕХ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00024;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 4 glass doors,top WALNUT;DADO Шкаф 4 стекл.двери;Шкаф 4 стеклянные двери Тао/Ekis/Sigma;100x44xh122;СТЕКЛО БЕЛ/ОРЕХ;0;1 326;0;0;0; ;75,74;0,194;DS17;ЗАГ00026;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 2 doors WALNUT, carcass WHITE;DADO Греденция L100,2дер.двери;Греденция Тао/Ekis/Sigma;100x44xh72;ОРЕХ;0;521;0;0;0; ;37,28;0,11;DS17;ЗАГ00027;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 2 glass doors,top WALNUT;DADO Греденция L100,2 стекл.дв;Греденция Тао/Ekis/Sigma;100x44xh72;СТЕКЛО БЕЛ/ОРЕХ;0;799;0;0;0; ;36,74;0,1081;DS17;ЗАГ00028;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO L.200 4 doors WALNUT, carcass WHITE;DADO Греденция L200 дер.двери;Греденция Тао/Ekis/Sigma ;200x44xh72;ОРЕХ;0;1 011;0;0;0; ;82,19;0,229;DS17;ЗАГ00029;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO wooden+glass doors L200 TOP WALNUT , Carcass - white;DADO Греденция L200 стекло+дер;;200x44xh72;СТЕКЛО БЕЛ/ОРЕХ;0;1 289;0;0;0; ;82,19;0,229;DS17;ЗАГ00030;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO L.200 4 glass doors, WALNUT, carcass WHITE;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО БЕЛ/ОРЕХ;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00031;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
StartUp 140*80 white;StartUp Стол 140x80;Стол на металлических опорах 140х80 см StartUp ;140x80xh72;БЕЛЫЙ;0;283;0;0;0; ;34,7;0,117;DS14O;ЗАГ00045;;;0;28;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Brunoffice;
StartUp Table 160*80 white;StartUp Стол 160x80;Стол на металлических опорах 160х80 см StartUp;160x80xh72;БЕЛЫЙ;0;291;0;0;0; ;41,5;0,119;DS14O;ЗАГ00046;;;0;0;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Brunoffice;
StartUp Table 280*80 white;StartUp Стол 280x80;Бенч на металлических опорах 280х80 StartUp;280x80xh72;БЕЛЫЙ;0;518;0;0;0; ;62,9;0,232;DS14O;ЗАГ00049;;;0;7;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Brunoffice;
StartUp Table 320*80 white;StartUp Стол 320x80;Бенч на металлических опорах 320х80 StartUp;280x80xh72;БЕЛЫЙ;0;534;0;0;0; ;76,5;0,256;DS14O;ЗАГ00050;;;0;0;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Brunoffice;
148 3111/19;EKIS Стол письменный 160х100;;160x100xh73,5;ДУБ ТЕМНЫЙ;0;688;0;0;0; ;0;0;DS17;ЗАГ00053;;;0;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3112/19;EKIS Стол письменный 200х100;;200x100xh73,5;ДУБ ТЕМНЫЙ;0;742;0;0;0; ;0;0;DS17;ЗАГ00054;;;0;12;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3151/19;EKIS Стол на опор.тумбе186х100;;186x100xh73,5;ДУБ ТЕМНЫЙ;0;1 230;0;0;0; ;0;0;DS17;ЗАГ00055;;;0;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3152/19;EKIS Стол на опор.тумбе226х100;;206х100xh73,5;ДУБ ТЕМНЫЙ;0;1 282;0;0;0; ;0;0;DS17;ЗАГ00056;;;0;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3550/19;EKIS Стол на оп.тумбе с прист.;;186x200xh73,5;ДУБ ТЕМНЫЙ;0;1 614;0;0;0; ;0;0;DS17;ЗАГ00057;;;0;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3551/19;EKIS Стол на оп.тумбе с прист.;;226x200xh73,5;ДУБ ТЕМНЫЙ;0;1 666;0;0;0; ;0;0;DS17;ЗАГ00058;;;0;6;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3510/19;EKIS Стол c приставкой 160х200;;160x200xh73,5;ДУБ ТЕМНЫЙ;0;1 122;0;0;0; ;0;0;DS17;ЗАГ00059;;;0;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3517/19;EKIS Стол c приставкой 200х200;;200х200xh73,5;ДУБ ТЕМНЫЙ;0;1 176;0;0;0; ;0;0;DS17;ЗАГ00060;;;0;12;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3111/15;EKIS Стол письменный 160х100;;160x100xh73,5;ДУБ СВЕТЛЫЙ;0;688;0;0;0; ;0;0;DS17;ЗАГ00061;;;0;7;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3112/15;EKIS Стол письменный 200х100;;200x100xh73,5;ДУБ СВЕТЛЫЙ;0;742;0;0;0; ;0;0;DS17;ЗАГ00062;;;0;7;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3151/15;EKIS Стол на опор.тумбе186х100;;186x100xh73,5;ДУБ СВЕТЛЫЙ;0;1 230;0;0;0; ;0;0;DS17;ЗАГ00063;;;0;0;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3152/15;EKIS Стол на опор.тумбе226х100;;226х100xh73,5;ДУБ СВЕТЛЫЙ;0;1 282;0;0;0; ;0;0;DS17;ЗАГ00064;;;0;0;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3550/15;EKIS Стол на оп.тумбе с прист.;;186x200xh73,5;ДУБ СВЕТЛЫЙ;0;1 614;0;0;0; ;0;0;DS17;ЗАГ00065;;;0;0;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3551/15;EKIS Стол на оп.тумбе с прист.;;226x200xh73,5;ДУБ СВЕТЛЫЙ;0;1 666;0;0;0; ;0;0;DS17;ЗАГ00066;;;0;0;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3510/15;EKIS Стол c приставкой 160х200;;160x200xh73,5;ДУБ СВЕТЛЫЙ;0;1 122;0;0;0; ;0;0;DS17;ЗАГ00068;;;0;7;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
148 3517/15;EKIS Стол c приставкой 200х200;;200х200xh73,5;ДУБ СВЕТЛЫЙ;0;1 176;0;0;0; ;0;0;DS17;ЗАГ00069;;;0;7;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DESKII 3+2Cat5e;DESKII 3+2CAT5E+1,5 кабель;Электрификация Desk;24смх9см;СЕРЫЙ;0;170;0;0;0; ;0;0;DS17;ЗАГ00071;;;0;43;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann;
DADO 4 doors DARK OAK, carcass GREY;DADO Шкаф 4 дер.двери, к-с сер;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ДУБ ТЕМНЫЙ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00090;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 4 doors LIGHT OAK, carcass WHITE;DADO Шкаф 4 дер.двери, к-с бел;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ДУБ СВЕТЛЫЙ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00091;;;0;1; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 4 glass doors,top DARK OAK;DADO Шкаф 4 стекл.двери;Шкаф 4 стеклянные двери Тао/Ekis/Sigma;100x44xh122;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;1 326;0;0;0; ;75,74;0,194;DS17;ЗАГ00092;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 4 glass doors,top LIGHT OAK;DADO Шкаф 4 стекл.двери;Шкаф 4 стеклянные двери Тао/Ekis/Sigma;100x44xh122;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;1 326;0;0;0; ;75,74;0,194;DS17;ЗАГ00093;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 2 doors DARK OAK, carcass GREY;DADO Греденция L100,2дер.двери;Греденция Тао/Ekis/Sigma;100x44xh72;ДУБ ТЕМНЫЙ;0;521;0;0;0; ;37,28;0,1081;DS17;ЗАГ00094;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 2 doors LIGHT OAK, carcass WHITE;DADO Греденция L100,2дер.двери;Греденция Тао/Ekis/Sigma;100x44xh72;ДУБ СВЕТЛЫЙ;0;521;0;0;0; ;37,28;0,1081;DS17;ЗАГ00095;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 2 glass doors,top DARK OAK;DADO Греденция L100,2 стекл.дв;Греденция Тао/Ekis/Sigma;100x44xh72;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;799;0;0;0; ;36,74;0,1081;DS17;ЗАГ00096;;;0;1; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 2 glass doors,top LIGHT OAK, carcass WHITE;DADO Греденция L100,2 стекл.дв;Греденция Тао/Ekis/Sigma;100x44xh72;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;799;0;0;0; ;36,74;0,1081;DS17;ЗАГ00097;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO H.121 glass doors;DADO Шкаф 4 стекл.двери;;100x44xh72;СТЕКЛО БЕЛ/БЕЛЫЙ;0;1 326;0;0;0; ;36,74;0,1081;DS17;ЗАГ00098;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
DADO 4 doors LIGHT OAK, carcass GREY;DADO Шкаф 4 дер.двери, к-с сер;Шкаф 4 двери Тао/Ekis/Sigma;100x44xh122;ДУБ СВЕТЛЫЙ;0;770;0;0;0; ;76,32;0,194;DS17;ЗАГ00100;;;0;8; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
PFС 2+1HDMI;POWER FRAME COVER 2schuc+1HDMI;Электрификация Power Frame;255х87x80mm;АЛЮМИНИЙ;0;226;0;0;0; ;0;0;DS17;ЗАГ00102;;;0;12;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann;
CONIсерый2+2Cat5e+кабель;CONI 2+2Cat5e рамка+блок;Электрификация Coni;248х151х56мм;СЕРЫЙ;0;277;0;0;0; ;1,75;0,01;DS17;ЗАГ00103;;;0;18;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann;
CONFсер2+2Cat5e+1VGA+stereo;CONFERENCE 2+2Cat5e+1VGA+stere;Электрификация Conference;285х183х110мм;СЕРЫЙ;0;854;0;0;0; ;0;0;DS17;ЗАГ00104;;;0;30;Целое;ЭЛЕКТРИФ;;; ;Нет;Нет;Нет; ; ; ;;;Bachmann;
LUNA L100 dark oak;LUNA Высокая стойка L100;Стойка Luna;100x92xh112;ДУБ ТЕМНЫЙ;0;1 609;0;0;0; ;0;0;DS14;ЗАГ00106;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
LUNA L100 light oak;LUNA Высокая стойка L100;Стойка Luna;100x92xh112;ДУБ СВЕТЛЫЙ;0;1 609;0;0;0; ;0;0;DS14;ЗАГ00107;;;0;4;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
LUNA L160 light oak;LUNA Высокая стойка L160;Стойка Luna;160x92xh112;ДУБ СВЕТЛЫЙ;0;1 936;0;0;0; ;0;0;DS14;ЗАГ00108;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
LUNA L160 dark oak;LUNA Высокая стойка L160;Стойка Luna;160x92xh112;ДУБ ТЕМНЫЙ;0;1 936;0;0;0; ;0;0;DS14;ЗАГ00109;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/100 white/black;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;БЕЛ+ЧЕРН;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00110;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/100 walnut/white;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;ОРЕХ/БЕЛЫЙ;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00111;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/100 light oak/white;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;ДУБ СВЕТЛЫЙ/БЕЛЫЙ;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00112;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/200 white/black glass;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;БЕЛ+ЧЕРН;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00113;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/200 walnut/white glass;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;ОРЕХ/БЕЛЫЙ;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00114;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/200 light oak/white glass;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;ДУБ СВЕТЛЫЙ/БЕЛЫЙ;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00115;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L208/200 rovere cotto/black;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;ДУБ ЖЖЕНЫЙ/ЧЕРНЫЙ;0;4 779;0;0;0; ;0;0;DS17;ЗАГ00116;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L308/200 rovere cotto/black;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;ДУБ ЖЖЕНЫЙ/ЧЕРНЫЙ;0;5 819;0;0;0; ;0;0;DS17;ЗАГ00117;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
T.E.S. Стеллаж с топом;T.E.S. Стеллаж, каркас серый;Стеллаж Тао/Ekis/Sigma;80x44xh197,5;ОРЕХ;0;543;0;0;0; ;0;0;DS14;ЗАГ00126;;;0;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
LUNA 60* module with sides light oak;LUNA Стойка 60;Стойка Luna;178x103xh112;ДУБ СВЕТЛЫЙ;0;2 308;0;0;0; ;0;0;DS14;ЗАГ00128;;;0;4;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
LUNA 120* light oak;LUNA Стойка 120;Стойка Luna;351x103xh112;ДУБ СВЕТЛЫЙ;0;4 306;0;0;0; ;0;0;DS14;ЗАГ00129;;;0;4;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
LUNA 120* dark oak;LUNA Стойка 120;Стойка Luna;351x103xh112;ДУБ ТЕМНЫЙ;0;4 306;0;0;0; ;0;0;DS14;ЗАГ00130;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
FACTORY L308/200 white/black;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;БЕЛ+ЧЕРН;0;3 135;0;0;0; ;0;0;DS17;ЗАГ00134;;;0;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica;
