ТОВАРЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
StartUp 140*80 white;StartUp Стол 140x80;Стол на металлических опорах 140х80 см StartUp ;140x80xh72;БЕЛЫЙ;0;178;0;0;0; ;34,7;0,117;DS14O;ЗАГ00045;;;;25;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Brunoffice; ;0;0;
StartUp Table 280*80 white;StartUp Стол 280x80;Бенч на металлических опорах 280х80 StartUp;280x80xh72;БЕЛЫЙ;0;326;0;0;0; ;62,9;0,232;DS14O;ЗАГ00049;;;;7;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Brunoffice; ;0;0;
148 3111/19;EKIS Стол письменный 160х100;;160x100xh73,5;ДУБ ТЕМНЫЙ;0;688;0;0;0; ;0;0;DS17;ЗАГ00053;;;;8;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3112/19;EKIS Стол письменный 200х100;;200x100xh73,5;ДУБ ТЕМНЫЙ;0;742;0;0;0; ;0;0;DS17;ЗАГ00054;;;;8;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3151/19;EKIS Стол на опор.тумбе186х100;;186x100xh73,5;ДУБ ТЕМНЫЙ;0;1 230;0;0;0; ;0;0;DS17;ЗАГ00055;;;;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3152/19;EKIS Стол на опор.тумбе226х100;;206х100xh73,5;ДУБ ТЕМНЫЙ;0;1 282;0;0;0; ;0;0;DS17;ЗАГ00056;;;;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3550/19;EKIS Стол на оп.тумбе с прист.;;186x200xh73,5;ДУБ ТЕМНЫЙ;0;1 614;0;0;0; ;0;0;DS17;ЗАГ00057;;;;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3551/19;EKIS Стол на оп.тумбе с прист.;;226x200xh73,5;ДУБ ТЕМНЫЙ;0;1 666;0;0;0; ;0;0;DS17;ЗАГ00058;;;;5;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3510/19;EKIS Стол c приставкой 160х200;;160x200xh73,5;ДУБ ТЕМНЫЙ;0;1 122;0;0;0; ;0;0;DS17;ЗАГ00059;;;;10;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
148 3517/19;EKIS Стол c приставкой 200х200;;200х200xh73,5;ДУБ ТЕМНЫЙ;0;1 176;0;0;0; ;0;0;DS17;ЗАГ00060;;;;10;Целое;СТОЛПИСЬМ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
